,image,Q,A
12737,synpic26844,is there something wrong in the image?,no
12738,synpic35670,does this image look normal?,yes
12739,synpic35672,does this image look normal?,yes
12740,synpic35673,does this image look normal?,yes
12741,synpic35680,does this image look normal?,yes
12742,synpic35688,does this image look normal?,yes
12743,synpic54895,is this a normal mri?,yes
12744,synpic17687,is this a normal mri?,yes
12745,synpic18668,is there something wrong in the image?,no
12746,synpic18670,are there abnormalities in this ultrasound?,no
12747,synpic24025,is this a normal ultrasound?,yes
12748,synpic25073,does this image look normal?,yes
12749,synpic25619,does this image look normal?,yes
12750,synpic25631,is there an abnormality in the x-ray?,no
12751,synpic25640,is this a normal x-ray?,yes
12752,synpic25655,is the x-ray normal?,yes
12753,synpic25787,is there evidence of any abnormalities?,no
12754,synpic25796,is there something wrong in the image?,no
12755,synpic26416,is this image normal?,yes
12756,synpic26845,is this image normal?,yes
12757,synpic26846,is there something wrong in the image?,no
12758,synpic33350,is there something wrong in the image?,no
12759,synpic34660,is there an abnormality in the x-ray?,no
12760,synpic34662,is there evidence of any abnormalities?,no
12761,synpic35667,is the mri normal?,yes
12762,synpic35668,is the mri normal?,yes
12763,synpic35671,is there something wrong in the image?,no
12764,synpic35674,is this a normal mri?,yes
12765,synpic35699,are there abnormalities in this mri?,no
12766,synpic39180,is the ct scan normal?,yes
12767,synpic41951,is there something wrong in the image?,no
12768,synpic41952,is this a normal gastrointestinal image?,yes
12769,synpic54543,does this image look normal?,yes
12770,synpic54892,are there abnormalities in this mri?,no
12771,synpic54898,is there evidence of any abnormalities?,no
12772,synpic4288,is there an abnormality in the ct scan?,no
12773,synpic18104,is this image normal?,yes
12774,synpic18667,is there evidence of any abnormalities?,no
12775,synpic18669,is this a normal ultrasound?,yes
12776,synpic18671,does this image look normal?,yes
12777,synpic18672,is this image normal?,yes
12778,synpic25649,are there abnormalities in this x-ray?,no
12779,synpic25650,is the x-ray normal?,yes
12780,synpic25662,does this image look normal?,yes
12781,synpic25797,does this image look normal?,yes
12782,synpic26841,is this image normal?,yes
12783,synpic26843,is this a normal mri?,yes
12784,synpic28827,is there something wrong in the image?,no
12785,synpic34659,is this image normal?,yes
12786,synpic34661,does this image look normal?,yes
12787,synpic35685,is this image normal?,yes
12788,synpic35687,is there something wrong in the image?,no
12789,synpic35701,is there evidence of any abnormalities?,no
12790,synpic48036,is the ct scan normal?,yes
12791,synpic54897,is there an abnormality in the mri?,no
